Jurisdiction,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kansas,"2,341","2,290","2,494","2,770","3,078","3,705","4,244","4,732","5,345","5,781","5,817","5,616","5,775","5,903","6,028","5,727","6,371","7,054","7,756","7,911","8,183","8,567","8,344","8,577","8,935","9,132","8,966","9,068","8,816","8,696","8,539","8,641","9,051","9,327","9,682","9,763","9,877","9,857","9,920","10,015","10,218","10,177"
Kentucky,"3,390","3,691","3,588","3,993","4,031","4,773","4,820","4,981","5,288","6,437","7,119","8,289","9,023","9,799","10,364","10,440","11,066","12,060","12,910","14,600","14,987","15,317","14,919","15,424","15,820","16,622","17,814","19,662","20,000","22,457","21,706","21,638","20,544","21,545","22,110","21,030","21,657","21,701","23,022","23,543","23,431","23,082"
Louisiana,"7,291","7,618","8,889","9,415","10,930","12,812","13,659","13,890","14,300","15,375","16,242","17,257","18,599","20,003","20,980","22,468","24,063","25,195","26,779","29,265","32,228","34,066","35,207","35,810","36,032","36,047","36,939","36,083","37,012","37,540","38,381","39,780","39,445","39,710","40,172","39,299","38,030","36,377","35,682","33,739","32,397","31,609"
Maine,711,776,814,992,"1,110","1,082","1,032","1,317","1,316","1,299","1,277","1,455","1,523","1,579","1,519","1,469","1,474","1,396","1,426","1,620","1,691","1,716","1,679","1,704","1,900","2,013","2,024","2,023","2,120","2,148","2,195","2,206","2,154","2,145","2,108","2,173","2,242","2,279","2,404","2,404","2,425","2,185"
Maryland,"7,966","7,860","7,731","9,335","11,617","12,617","13,124","13,005","13,326","13,467","14,276","16,514","17,848","19,291","19,977","20,264","20,998","21,453","22,050","22,232","22,572","23,095","23,538","23,752","24,162","23,791","23,285","22,737","22,945","23,433","23,324","22,255","22,645","22,558","21,522","21,335","21,011","20,764","19,994","19,367","18,856","18,595"
Massachusetts,"2,806","2,924","3,185","3,889","4,334","4,482","4,883","5,390","5,636","6,268","6,757","7,524","8,345","9,415","10,053","10,229","11,293","11,687","11,796","11,947","11,799","11,356","10,722","10,588","10,329","10,232","10,144","10,701","11,032","11,436","11,408","11,316","11,313","11,623","11,308","10,950","10,713","9,922","9,403","9,133","8,692","8,205"
Michigan,"14,944","15,002","15,124","15,157","14,913","14,510","14,604","17,755","20,742","23,879","27,612","31,639","34,267","36,423","39,113","39,318","40,631","41,112","42,349","44,771","45,879","46,617","47,718","48,849","50,591","49,358","48,883","49,546","51,577","50,233","48,738","45,478","44,165","42,940","43,636","43,759","43,390","42,628","41,122","39,666","38,761","38,053"
Minnesota,"1,954","2,094","2,001","1,966","2,081","2,113","2,167","2,343","2,462","2,546","2,799","3,103","3,176","3,472","3,822","4,200","4,575","4,846","5,158","5,326","5,572","5,969","6,238","6,606","7,129","7,865","8,758","9,281","9,108","9,468","9,910","9,986","9,796","9,800","9,938","10,289","10,637","10,798","10,592","10,708","10,101","9,982"
Mississippi,"2,896","3,508","3,902","4,624","5,484","5,586","6,115","6,392","6,747","6,880","7,384","7,911","8,375","8,904","8,905","9,907","10,930","12,684","13,859","14,296","16,678","18,247","20,241","21,460","22,705","20,589","20,983","20,515","21,068","22,431","22,754","21,482","21,067","21,386","22,319","21,969","18,793","18,911","19,192","19,103","19,275","19,417"
Missouri,"5,637","5,279","5,726","6,489","7,445","8,103","8,770","9,796","10,309","11,357","12,176","13,921","14,943","15,897","16,195","16,178","17,898","19,134","22,003","23,664","25,060","26,155","27,543","28,757","30,099","30,303","31,081","30,823","30,167","29,857","30,186","30,563","30,623","30,833","31,247","31,537","31,942","32,330","32,461","32,601","30,369","26,044"
